-1000,67.352,97.639,227.01,67.352,97.639
227.01,67.352,97.639,234.74,67.352,97.639
234.74,67.352,97.639,317.3,58.629,100.17
317.3,58.629,100.17,579.67,67.139,93.683
579.67,67.139,93.683,619.83,67.139,93.683
619.83,67.139,93.683,791.46,66.038,96.244
791.46,66.038,96.244,812.62,66.038,96.244
812.62,66.038,96.244,1218.3,77.561,103.77
1218.3,77.561,103.77,1261.2,80.757,99.645
1261.2,80.757,99.645,1275.4,80.757,99.645
1275.4,80.757,99.645,1286.6,80.757,99.645
1286.6,80.757,99.645,1381.4,67.376,94.028
1381.4,67.376,94.028,1464.8,74.394,110.04
1464.8,74.394,110.04,1625.9,76.973,101.3
1625.9,76.973,101.3,1737.8,74.429,109.56
1737.8,74.429,109.56,1751.7,75.926,105.35
1751.7,75.926,105.35,1791.8,75.926,105.35
1791.8,75.926,105.35,2192.6,71.671,103.74
2192.6,71.671,103.74,2269.5,70.21,91.062
2269.5,70.21,91.062,2571.4,72.324,87.019
2571.4,72.324,87.019,2609.3,69.36,98.368
2609.3,69.36,98.368,2637.5,69.36,98.368
2637.5,69.36,98.368,3014.7,71.856,104.17
3014.7,71.856,104.17,3072.2,68.231,90.949
3072.2,68.231,90.949,3177.4,66.796,102.55
3177.4,66.796,102.55,3214.5,66.796,102.55
3214.5,66.796,102.55,3512.9,77.446,96.007
3512.9,77.446,96.007,3625.5,70.345,105.85
3625.5,70.345,105.85,3735.3,70.108,110.9
3735.3,70.108,110.9,3938.3,61.689,102
3938.3,61.689,102,4010.9,77.655,94.737
4010.9,77.655,94.737,4261.5,66.959,108.5
4261.5,66.959,108.5,4319.4,73.803,109.44
4319.4,73.803,109.44,4544.3,64.562,93.266
4544.3,64.562,93.266,6000,64.562,93.266
