227.01,67.352,97.639,-62.814,-127.05,-100.83,5.6885
234.74,67.352,97.639,-55.946,136.21,-195.28,3.1074
317.3,58.629,100.17,-19.262,121.37,-200.33,4.8754
619.83,67.139,93.683,-48.898,-124.6,-187.37,3.5988
791.46,66.038,96.244,-26.615,-19.604,-192.49,6.9578
812.62,66.038,96.244,-15.955,147.38,-114.12,6.9592
1218.3,77.561,103.77,-23.414,48.206,-207.55,6.1993
1261.2,80.757,99.645,-10.56,-161.51,-167.98,5.2292
1275.4,80.757,99.645,26.023,127.53,-196.48,3.9785
1286.6,80.757,99.645,-26.281,-76.583,-199.29,7.5274
1381.4,67.376,94.028,-8.1874,151.26,-117.61,5.8194
1464.8,74.394,110.04,-48.481,-148.79,-198.25,4.5434
1625.9,76.973,101.3,-7.7802,87.684,-202.59,6.4349
1737.8,74.429,109.56,-22.738,-142.77,-216.55,5.6879
1751.7,75.926,105.35,66.54,69.48,-129.56,2.5919
2192.6,71.671,103.74,-18.343,74.558,-207.47,7.3824
2269.5,70.21,91.062,-13.883,-17.107,-182.12,8.4152
2571.4,72.324,87.019,-73.876,53.74,-155.84,3.3469
2609.3,69.36,98.368,39.635,133.94,-126.67,7.017
2637.5,69.36,98.368,-32.77,-134.56,-112.67,7.0564
3014.7,71.856,104.17,-24.238,85.531,-208.35,5.3236
3072.2,68.231,90.949,-17.17,-116.66,-97.674,7.5969
3177.4,66.796,102.55,1.9239,121.5,-205.11,6.5703
3214.5,66.796,102.55,1.9808,-81.95,-205.11,7.2552
3512.9,77.446,96.007,-27.689,-154.89,-113.3,3.0309
3625.5,70.345,105.85,-34.171,-37.556,-211.7,7.6501
3735.3,70.108,110.9,-8.0638,149.78,-213.91,3.4616
3938.3,61.689,102,-9.0689,87.4,-204.01,7.3467
4010.9,77.655,94.737,-26.122,-140.49,-83.109,5.0943
4261.5,66.959,108.5,-35.508,150.58,-217,3.9434
4319.4,73.803,109.44,-36.862,-143.28,-215.59,5.0504
4544.3,64.562,93.266,-70.092,-15.512,-187.12,4.7953
